BACKSPACE_COUNT,CAC,CAR,CAT_R,CCC,CONDITION,CORRECTED_ERROR_RATE,CPS,ERROR_RATE,ID,INPUT_TIME,IS_LENGTH,KEYSTROKES_PER_CHARACTER,LEVENSHTEIN_DELETION,LEVENSHTEIN_INSERTION,LEVENSHTEIN_SUBSTITUTION,MINIMUM_STRING_DISTANCE,PHRASE_NUMBER,PT,PT_LENGTH,SESSION,TOTAL_ERROR_RATE,TOTAL_PHRASES,TT,TT_LENGTH,T_CAT,VST,WPM
0,0,0,0,0,off,0,4.964010920824026,0,Rsrmxamg4vNOaLqz7sH4,4.029,21,1,0,0,0,0,9,he called seven times,21,og7wp8U4vBYG9qzI5h8C,0,12,he called seven times,21,0,167,59.56813104988831
0,0,0,0,0,off,0,3.865546218487395,0,Rsrmxamg4vNOaLqz7sH4,5.95,24,1,0,0,0,0,6,quit while you are ahead,24,og7wp8U4vBYG9qzI5h8C,0,12,quit while you are ahead,24,0,321,46.38655462184874
1,1,2.272727272727273,3.7446443873179094,0,normal,2.3255813953488373,3.513281919451585,0,yrsLAfAfAVEPsJjph3MR,11.67,44,1.0476190476190477,0,0,0,0,1,if you come home late the doors are locked,42,og7wp8U4vBYG9qzI5h8C,2.3255813953488373,12,if you come home late the doors are locked,42,0.437,355,42.15938303341902
2,2,6.666666666666667,14.389799635701275,0,normal,7.142857142857142,5.692167577413478,0,yrsLAfAfAVEPsJjph3MR,4.392,30,1.1538461538461537,0,0,0,0,2,my watch fell in the water,26,og7wp8U4vBYG9qzI5h8C,7.142857142857142,12,my watch fell in the water,26,0.632,347,68.30601092896174
6,6,12.76595744680851,25.47019978266321,0,off,14.634146341463413,2.8420964640976347,0,Rsrmxamg4vNOaLqz7sH4,11.963,47,1.3428571428571427,0,0,0,0,12,bank transaction was not registered,35,og7wp8U4vBYG9qzI5h8C,14.634146341463413,12,bank transaction was not registered,35,3.047,516,34.10515756917162
0,0,0,0,0,off,0,4.806946813459451,6.25,Rsrmxamg4vNOaLqz7sH4,6.449,32,1,1,1,0,6.25,3,the collapse of the roman empire,32,og7wp8U4vBYG9qzI5h8C,6.25,12,the collapse of the roman emprie,32,0,275,57.68336176151341
5,5,14.705882352941178,14.646062947392341,0,normal,17.24137931034483,2.613339393250767,0,yrsLAfAfAVEPsJjph3MR,8.801,34,1.4166666666666667,0,0,0,0,3,stay away from strangers,24,og7wp8U4vBYG9qzI5h8C,17.24137931034483,12,stay away from strangers,24,1.289,509,31.360072719009203
0,0,0,0,0,normal,0,5.245410266017235,0,yrsLAfAfAVEPsJjph3MR,5.338,30,1.0344827586206897,0,0,0,0,5,lie detector tests never work,29,og7wp8U4vBYG9qzI5h8C,0,12,lie detector tests never work,29,0,185,62.944923192206815
0,0,0,0,0,normal,0,4.612382472946603,0,yrsLAfAfAVEPsJjph3MR,5.637,27,1,0,0,0,0,6,effort is what it will take,27,og7wp8U4vBYG9qzI5h8C,0,12,effort is what it will take,27,0,307,55.348589675359236
0,0,0,0,0,enhanced,0,4.124004550625711,0,ZqzQpF2NLalCaTuqwKBg,7.032,30,1,0,0,0,0,4,why do you ask silly questions,30,og7wp8U4vBYG9qzI5h8C,0,12,why do you ask silly questions,30,0,1447,49.48805460750853
